Symbol,Company Name,Last Price,Change,%Change,Volume
ALTR.LS,"Altri, SGPS, S.A.",5.18,0.0,0.00%,"96,324"
NOS.LS,"NOS, S.G.P.S., S.A.",3.575,0.0,0.00%,"261,370"
GALP.LS,"Galp Energia, SGPS, S.A.",16.73,0.02,+0.12%,"901,891"
EDPR.LS,"EDP Renováveis, S.A.",14.64,0.03,+0.21%,"750,450"
RENE.LS,"REN - Redes Energéticas Nacionais, SGPS, S.A.",2.395,0.005,+0.21%,"170,190"
SON.LS,"Sonae, SGPS, S.A.",0.95,0.002,+0.21%,"610,782"
IBS.LS,"Ibersol, S.G.P.S., S.A.",7.22,-0.02,-0.28%,"42,088"
EDP.LS,"EDP, S.A.",3.899,0.016,+0.41%,3.917M
COR.LS,"Corticeira Amorim, S.G.P.S., S.A.",8.77,0.04,+0.46%,"16,215"
CTT.LS,"CTT - Correios De Portugal, S.A.",4.225,-0.02,-0.47%,"86,444"
NVG.LS,"The Navigator Company, S.A.",3.752,0.02,+0.54%,"214,481"
BCP.LS,"Banco Comercial Português, S.A.",0.4165,0.0027,+0.65%,56.896M
NBA.LS,"Novabase S.G.P.S., S.A.",5.8,-0.05,-0.85%,"3,167"
PHR.LS,"Pharol, SGPS S.A.",0.044,0.0004,+0.92%,"135,142"
SEM.LS,"Semapa - Sociedade de Investimento e Gestão, SGPS, S.A.",14.88,0.28,+1.92%,"27,489"
JMT.LS,"Jerónimo Martins, SGPS, S.A.",17.44,0.36,+2.11%,"751,104"
EGL.LS,"Mota-Engil, SGPS, S.A.",2.54,0.09,+3.67%,1.968M
